Section ID	7/20/26 9:24 AM PDT	7/22/26 2:32 AM PDT	7/24/2026, 11:43:00 PM	7/27/2026, 3:25:20 AM	7/28/2026, 8:44:00 PM	7/29/2026, 8:09:00 PM	7/30/2026, 7:06:00 PM	7/31/2026, 6:18:00 PM	8/3/2026, 7:12:00 PM	8/4/2026, 7:14:00 PM	8/5/2026, 10:57:00 PM	8/6/2026, 11:45:00 PM	8/7/2026, 10:57:00 PM	8/9/2026, 8:44:00 PM	8/10/2026, 8:57:00 PM	8/11/2026, 9:25:00 PM	8/12/2026, 6:44:00 PM	8/13/2026, 7:18:00 PM	8/14/2026, 6:41:00 PM	8/16/2026, 10:50:00 PM	8/17/2026, 9:27:00 PM	8/18/2026, 8:53:00 PM	8/18/2026, 11:55:00 PM	8/19/2026, 8:17:00 PM	8/20/2026, 8:33:00 PM	8/21/2026, 6:29:00 PM	8/22/2026, 10:55:00 PM	8/26/2026, 12:12:00 AM	8/27/2026, 10:33:00 PM	8/28/2026, 10:18:00 PM	8/31/2026, 7:15:00 PM	9/1/2026, 9:35:00 PM
E 00000037	20/20	20/20	20/20	20/20	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	9/20/0	8/20/0	8/20/0	7/20/0	6/20/0
E 00000038	20/20	20/20	20/20	20/20	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	20/20/0	9/20/0	9/20/0	8/20/0	8/20/0	6/20/0
E 00000039	40/40	40/40	40/40/0	39/40	39/40/0	39/40/0	39/40/0	38/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	36/40/0	35/40/0	32/40/0	31/40/0	31/40/0	31/40/0	31/40/0	31/40/0	31/40/0	31/40/0	31/40/0
E 00000041	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	9/13/0	6/13/0	6/13/0	4/13/0	4/13/0	4/13/0	3/13/0	0/13/0
E 00000043	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	8/13/0	7/13/0	7/13/0	7/13/0	5/13/0	0/13/0
E 00000044	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	11/13/0	11/13/0	12/13/0	11/13/0	11/13/0	9/13/0	0/13/0
E 00000045	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	0/13/0
E 00000046	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	0/13/0
E 00000047	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	8/13/0	9/13/0	9/13/0	9/13/0	9/13/0	9/13/0	0/13/0
E 00000048	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	11/13/0	0/13/0
E 00000049	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	10/13/0	10/13/0	10/13/0	10/13/0	10/13/0	9/13/0	0/13/0
E 00000050	13/13	13/13	13/13/0	13/13	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	13/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	12/13/0	0/13/0
E 00000052	300/300	300/300	299/300/0	298/300	298/300/0	298/300/0	298/300/0	292/300/0	286/300/0	283/300/0	281/300/0	280/300/0	279/300/0	279/300/0	274/300/0	265/300/0	264/300/0	267/300/0	267/300/0	267/300/0	263/300/0	256/300/0	255/300/0	247/300/0	241/300/0	217/300/0	210/300/0	206/300/0	207/300/0	207/300/0	205/300/0	170/300/0
E 00000053	300/300	300/300	299/300/0	298/300	298/300/0	298/300/0	298/300/0	292/300/0	286/300/0	283/300/0	281/300/0	280/300/0	279/300/0	279/300/0	274/300/0	265/300/0	264/300/0	267/300/0	267/300/0	267/300/0	263/300/0	256/300/0	255/300/0	247/300/0	241/300/0	217/300/0	210/300/0	206/300/0	207/300/0	207/300/0	205/300/0	170/300/0
E 00000054	37/37	37/37	37/37/0	37/37	37/37/0	37/37/0	37/37/0	37/37/0	36/37/0	36/37/0	36/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	34/37/0	34/37/0	32/37/0	30/37/0	30/37/0	30/37/0	30/37/0	30/37/0	28/37/0
E 00000055	37/37	37/37	37/37/0	37/37	37/37/0	37/37/0	37/37/0	37/37/0	36/37/0	36/37/0	36/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	35/37/0	34/37/0	32/37/0	30/37/0	30/37/0	30/37/0	30/37/0	30/37/0	28/37/0
E 00000056	56/56	56/56	56/56/0	56/56	56/56/0	56/56/0	56/56/0	56/56/0	55/56/0	54/56/0	52/56/0	51/56/0	51/56/0	51/56/0	47/56/0	44/56/0	44/56/0	43/56/0	43/56/0	43/56/0	43/56/0	40/56/0	40/56/0	40/56/0	27/56/0	26/56/0	24/56/0	22/56/0	21/56/0	21/56/0	19/56/0	18/56/0
E 00000057	56/56	56/56	56/56/0	56/56	56/56/0	56/56/0	56/56/0	56/56/0	55/56/0	54/56/0	52/56/0	51/56/0	51/56/0	51/56/0	47/56/0	44/56/0	44/56/0	43/56/0	43/56/0	43/56/0	43/56/0	40/56/0	40/56/0	40/56/0	27/56/0	26/56/0	24/56/0	22/56/0	21/56/0	21/56/0	19/56/0	18/56/0
E 00000058	75/75	75/75	74/75/0	74/75	74/75/0	73/75/0	73/75/0	73/75/0	73/75/0	73/75/0	73/75/0	72/75/0	73/75/0	73/75/0	65/75/0	59/75/0	59/75/0	58/75/0	58/75/0	57/75/0	51/75/0	50/75/0	50/75/0	47/75/0	31/75/0	7/75/0	2/75/0	0/75/0	0/75/0	0/75/0	0/75/0	0/75/0
E 00000059	75/75	75/75	74/75/0	74/75	74/75/0	73/75/0	73/75/0	73/75/0	73/75/0	73/75/0	73/75/0	72/75/0	73/75/0	73/75/0	65/75/0	59/75/0	59/75/0	58/75/0	58/75/0	57/75/0	51/75/0	50/75/0	50/75/0	47/75/0	31/75/0	7/75/0	2/75/0	0/75/0	0/75/0	0/75/0	0/75/0	0/75/0
E 00000060	40/40	40/40	37/40/0	37/40	37/40/0	36/40/0	36/40/0	34/40/0	31/40/0	25/40/0	21/40/0	21/40/0	21/40/0	21/40/0	22/40/0	21/40/0	21/40/0	21/40/0	21/40/0	21/40/0	21/40/0	18/40/0	17/40/0	16/40/0	14/40/0	11/40/0	11/40/0	9/40/0	8/40/0	8/40/0	4/40/0	5/40/0
E 00000061	40/40	40/40	37/40/0	37/40	37/40/0	36/40/0	36/40/0	34/40/0	31/40/0	25/40/0	21/40/0	21/40/0	21/40/0	21/40/0	22/40/0	21/40/0	21/40/0	21/40/0	21/40/0	21/40/0	21/40/0	18/40/0	17/40/0	16/40/0	14/40/0	11/40/0	11/40/0	9/40/0	9/40/0	8/40/0	4/40/0	5/40/0
E 00000062	32/32	32/32	31/32/0	31/32	31/32/0	30/32/0	30/32/0	24/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	21/32/0	20/32/0	20/32/0	20/32/0	19/32/0	19/32/0	19/32/0	19/32/0	19/32/0	19/32/0
E 00000063	32/32	32/32	31/32/0	31/32	31/32/0	30/32/0	30/32/0	24/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	22/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	23/32/0	21/32/0	21/32/0	20/32/0	20/32/0	19/32/0	19/32/0	19/32/0	19/32/0	19/32/0	19/32/0
E 00000064	37/37	37/37	35/37/0	35/37	35/37/0	33/37/0	32/37/0	26/37/0	21/37/0	19/37/0	18/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	15/37/0	13/37/0	9/37/0	5/37/0	3/37/0	3/37/0	2/37/0	1/37/0	1/37/0	1/37/0	0/37/0	0/37/0
E 00000065	37/37	37/37	35/37/0	35/37	35/37/0	33/37/0	32/37/0	26/37/0	21/37/0	19/37/0	18/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	17/37/0	15/37/0	13/37/0	9/37/0	5/37/0	3/37/0	3/37/0	2/37/0	1/37/0	1/37/0	1/37/0	0/37/0	0/37/0
E 00000066	40/40	40/40	38/40/0	38/40	38/40/0	35/40/0	34/40/0	19/40/0	17/40/0	16/40/0	12/40/0	12/40/0	12/40/0	12/40/0	12/40/0	12/40/0	11/40/0	11/40/0	11/40/0	11/40/0	11/40/0	8/40/0	8/40/0	3/40/0	0/40/0	1/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0
E 00000067	40/40	40/40	38/40/0	38/40	38/40/0	35/40/0	34/40/0	19/40/0	17/40/0	16/40/0	12/40/0	12/40/0	12/40/0	12/40/0	12/40/0	12/40/0	11/40/0	11/40/0	11/40/0	11/40/0	11/40/0	8/40/0	8/40/0	3/40/0	0/40/0	1/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0	0/40/0
E 00000068	30/30	30/30	28/30	27/30	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	27/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0
E 00000069	30/30	30/30	27/30	26/30	26/30/0	26/30/0	26/30/0	25/30/0	24/30/0	24/30/0	24/30/0	24/30/0	24/30/0	24/30/0	24/30/0	24/30/0	24/30/0	23/30/0	22/30/0	22/30/0	22/30/0	22/30/0	21/30/0	21/30/0	20/30/0	20/30/0	20/30/0	20/30/0	20/30/0	20/30/0	20/30/0	20/30/0
E 00000070	30/30	30/30	27/30	26/30	26/30/0	26/30/0	26/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	24/30/0	23/30/0	23/30/0	23/30/0	23/30/0	23/30/0	22/30/0	22/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0
E 00000071	30/30	30/30	27/30	26/30	26/30/0	26/30/0	26/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	25/30/0	24/30/0	23/30/0	23/30/0	23/30/0	23/30/0	23/30/0	22/30/0	22/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0	21/30/0
E 00000072	30/30	30/30	28/30	28/30	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	28/30/0	27/30/0	27/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0	26/30/0
E 00000073	250/250	250/250	218/250/0	214/250	209/250/0	209/250/0	209/250/0	206/250/0	193/250/0	192/250/0	190/250/0	187/250/0	186/250/0	186/250/0	186/250/0	184/250/0	182/250/0	180/250/0	180/250/0	178/250/0	177/250/0	176/250/0	171/250/0	151/250/0	136/250/0	126/250/0	119/250/0	103/250/0	99/250/0	98/250/0	98/250/0	96/250/0
E 00000074	250/250	250/250	250/250	250/250	250/250/0	250/250/0	250/250/0	250/250/0	250/250/0	249/250/0	249/250/0	246/250/0	246/250/0	246/250/0	246/250/0	246/250/0	244/250/0	242/250/0	242/250/0	241/250/0	241/250/0	238/250/0	232/250/0	225/250/0	218/250/0	212/250/0	207/250/0	197/250/0	193/250/0	193/250/0	193/250/0	191/250/0
E 00000075	250/250	250/250	229/250/0	228/250	221/250/0	221/250/0	221/250/0	218/250/0	207/250/0	207/250/0	205/250/0	205/250/0	204/250/0	204/250/0	204/250/0	202/250/0	202/250/0	200/250/0	200/250/0	199/250/0	198/250/0	198/250/0	198/250/0	183/250/0	175/250/0	166/250/0	164/250/0	155/250/0	154/250/0	153/250/0	154/250/0	152/250/0
E 00000076	250/250	250/250	219/250/0	216/250	210/250/0	209/250/0	209/250/0	207/250/0	195/250/0	194/250/0	192/250/0	190/250/0	189/250/0	189/250/0	189/250/0	187/250/0	184/250/0	181/250/0	181/250/0	179/250/0	179/250/0	178/250/0	173/250/0	153/250/0	140/250/0	131/250/0	123/250/0	109/250/0	104/250/0	104/250/0	104/250/0	101/250/0
E 00000077	250/250	250/250	219/250/0	216/250	210/250/0	209/250/0	209/250/0	207/250/0	195/250/0	194/250/0	192/250/0	190/250/0	189/250/0	189/250/0	189/250/0	187/250/0	184/250/0	181/250/0	181/250/0	180/250/0	179/250/0	178/250/0	173/250/0	153/250/0	140/250/0	131/250/0	123/250/0	109/250/0	104/250/0	104/250/0	104/250/0	101/250/0
E 00000078	80/80	80/80	75/80	75/80	75/80/0	75/80/0	75/80/0	73/80/0	73/80/0	72/80/0	72/80/0	71/80/0	71/80/0	69/80/0	69/80/0	69/80/0	69/80/0	68/80/0	68/80/0	68/80/0	68/80/0	68/80/0	68/80/0	67/80/0	67/80/0	67/80/0	67/80/0	67/80/0	66/80/0	66/80/0	66/80/0	66/80/0
E 00000079	80/80	80/80	75/80	75/80	75/80/0	75/80/0	75/80/0	74/80/0	74/80/0	73/80/0	73/80/0	72/80/0	72/80/0	70/80/0	70/80/0	70/80/0	70/80/0	69/80/0	69/80/0	69/80/0	69/80/0	69/80/0	69/80/0	68/80/0	68/80/0	68/80/0	68/80/0	68/80/0	67/80/0	67/80/0	66/80/0	66/80/0
E 00000080	80/80	80/80	72/80	70/80	68/80/0	67/80/0	67/80/0	66/80/0	62/80/0	62/80/0	61/80/0	60/80/0	59/80/0	59/80/0	59/80/0	57/80/0	57/80/0	57/80/0	57/80/0	56/80/0	56/80/0	54/80/0	54/80/0	55/80/0	55/80/0	55/80/0	55/80/0	54/80/0	54/80/0	54/80/0	53/80/0	53/80/0
E 00000081	50/50	50/50	42/50	39/50	36/50/0	35/50/0	35/50/0	34/50/0	34/50/0	34/50/0	34/50/0	34/50/0	34/50/0	34/50/0	34/50/0	33/50/0	33/50/0	33/50/0	33/50/0	32/50/0	32/50/0	31/50/0	30/50/0	29/50/0	29/50/0	29/50/0	29/50/0	29/50/0	29/50/0	29/50/0	29/50/0	29/50/0
E 00000082	250/250	250/250	211/250/0	206/250	198/250/0	197/250/0	195/250/0	192/250/0	191/250/0	191/250/0	190/250/0	190/250/0	189/250/0	188/250/0	187/250/0	187/250/0	185/250/0	185/250/0	187/250/0	186/250/0	183/250/0	181/250/0	181/250/0	180/250/0	177/250/0	175/250/0	172/250/0	170/250/0	168/250/0	169/250/0	169/250/0	167/250/0
E 00000083	50/50	50/50	42/50	39/50	35/50/0	35/50/0	35/50/0	35/50/0	35/50/0	35/50/0	35/50/0	32/50/0	32/50/0	32/50/0	32/50/0	31/50/0	30/50/0	30/50/0	30/50/0	30/50/0	30/50/0	29/50/0	28/50/0	27/50/0	27/50/0	27/50/0	28/50/0	28/50/0	28/50/0	27/50/0	27/50/0	26/50/0
E 00000084	60/60	60/60	56/60/0	54/60	54/60/0	54/60/0	54/60/0	52/60/0	52/60/0	52/60/0	52/60/0	52/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	51/60/0	52/60/0	52/60/0	52/60/0	52/60/0	52/60/0	51/60/0	51/60/0	51/60/0	51/60/0
E 00000085	80/80	80/80	66/80	60/80	54/80/0	54/80/0	54/80/0	55/80/0	53/80/0	53/80/0	53/80/0	53/80/0	53/80/0	53/80/0	52/80/0	52/80/0	52/80/0	52/80/0	52/80/0	52/80/0	52/80/0	52/80/0	50/80/0	49/80/0	49/80/0	49/80/0	48/80/0	48/80/0	47/80/0	49/80/0	47/80/0	47/80/0
E 00000086	50/50	50/50	45/50/0	44/50	43/50/0	42/50/0	42/50/0	42/50/0	41/50/0	41/50/0	41/50/0	39/50/0	39/50/0	39/50/0	39/50/0	39/50/0	39/50/0	39/50/0	39/50/0	38/50/0	38/50/0	37/50/0	37/50/0	38/50/0	38/50/0	38/50/0	38/50/0	38/50/0	38/50/0	36/50/0	36/50/0	36/50/0
E 00000087	60/60	60/60	50/60	48/60	46/60/0	45/60/0	45/60/0	44/60/0	43/60/0	43/60/0	43/60/0	42/60/0	42/60/0	42/60/0	43/60/0	43/60/0	43/60/0	43/60/0	43/60/0	43/60/0	42/60/0	42/60/0	41/60/0	41/60/0	41/60/0	40/60/0	39/60/0	40/60/0	37/60/0	38/60/0	38/60/0	35/60/0
E 00000088	50/50	50/50	31/50	25/50	24/50/0	22/50/0	22/50/0	20/50/0	19/50/0	19/50/0	19/50/0	20/50/0	20/50/0	20/50/0	17/50/0	17/50/0	17/50/0	16/50/0	17/50/0	16/50/0	14/50/0	14/50/0	13/50/0	14/50/0	13/50/0	13/50/0	13/50/0	13/50/0	13/50/0	13/50/0	12/50/0	11/50/0
E 00000089	80/80	80/80	58/80/0	57/80	57/80/0	54/80/0	54/80/0	54/80/0	49/80/0	49/80/0	50/80/0	49/80/0	49/80/0	49/80/0	49/80/0	48/80/0	47/80/0	47/80/0	47/80/0	47/80/0	46/80/0	46/80/0	46/80/0	48/80/0	48/80/0	47/80/0	47/80/0	45/80/0	45/80/0	44/80/0	43/80/0	45/80/0
E 00000090	80/80	80/80	58/80	55/80	54/80/0	54/80/0	54/80/0	54/80/0	53/80/0	53/80/0	51/80/0	51/80/0	50/80/0	50/80/0	50/80/0	51/80/0	51/80/0	51/80/0	51/80/0	51/80/0	51/80/0	51/80/0	52/80/0	52/80/0	52/80/0	52/80/0	51/80/0	51/80/0	49/80/0	49/80/0	48/80/0	47/80/0
E 00000091	50/50	50/50	32/50/0	27/50	25/50/0	23/50/0	21/50/0	20/50/0	15/50/0	15/50/0	13/50/0	13/50/0	12/50/0	10/50/0	10/50/0	7/50/0	6/50/0	5/50/0	4/50/0	3/50/0	1/50/0	1/50/0	1/50/0	1/50/0	0/50/0	0/50/0	0/50/0	0/50/0	0/50/0	0/50/0	0/50/0	0/50/0
E 00000092	50/50	50/50	30/50/0	25/50	23/50/0	21/50/0	21/50/0	18/50/0	16/50/0	15/50/0	15/50/0	15/50/0	15/50/0	13/50/0	13/50/0	13/50/0	13/50/0	12/50/0	12/50/0	11/50/0	10/50/0	9/50/0	9/50/0	8/50/0	8/50/0	6/50/0	6/50/0	4/50/0	4/50/0	4/50/0	5/50/0	5/50/0
E 00000093	50/50	50/50	43/50/0	42/50	41/50/0	40/50/0	40/50/0	39/50/0	39/50/0	39/50/0	39/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	40/50/0	38/50/0	37/50/0	37/50/0	37/50/0	37/50/0	37/50/0	37/50/0	38/50/0	38/50/0	38/50/0	38/50/0
E 00000094	80/80	80/80	67/80/0	63/80	60/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	58/80/0	57/80/0	57/80/0	57/80/0	57/80/0	55/80/0	53/80/0	52/80/0	52/80/0	50/80/0	50/80/0	48/80/0	48/80/0	48/80/0	47/80/0	46/80/0	46/80/0	45/80/0
E 00000096	60/60	60/60	48/60/0	47/60	47/60/0	47/60/0	47/60/0	48/60/0	50/60/0	50/60/0	49/60/0	49/60/0	49/60/0	49/60/0	49/60/0	48/60/0	48/60/0	48/60/0	48/60/0	47/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	46/60/0	45/60/0	45/60/0
E 00000097	224/224	224/224	215/224/0	213/224	213/224/0	212/224/0	210/224/0	203/224/0	202/224/0	198/224/0	195/224/0	195/224/0	196/224/0	196/224/0	181/224/0	174/224/0	174/224/0	175/224/0	175/224/0	175/224/0	168/224/0	163/224/0	163/224/0	152/224/0	149/224/0	129/224/0	128/224/0	126/224/0	126/224/0	126/224/0	120/224/0	93/224/0
